
REQUESTS
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,58239.11,57483.87,55061.15,52255.47,51116.81,49293.51,49686.01,47668.745,47904.48,47805.94,33570.755,37305.64,42279.195,43804.885,46034.64,47305.25,47111.665,40248.12,45226.0
CherryPy,1927.49,1938.225,1938.895,1923.12,1940.9,1931.085,1925.525,1901.015,1925.37,1926.26,1861.68,1910.92,1850.77,1859.345,1846.98,1871.655,1844.545,1789.115,1773.21
Gunicorn,1044.87,1115.255,800.155,666.355,786.315,823.705,635.155,820.48,559.94,839.17,925.44,668.54,803.45,791.08,783.935,662.035,611.385,844.775,607.72
Meinheld,996.43,1416.765,1330.54,1638.735,1222.29,911.12,1798.595,1873.625,2413.43,1887.155,2374.805,2360.555,2470.86,2328.36,2133.77,1914.235,2512.45,2095.88,1768.135
mod_WSGI-express,998.805,684.175,1100.71,1147.995,1119.685,949.05,1184.835,1126.565,1069.86,1112.01,1224.17,746.09,1178.685,1128.225,1008.06,1148.505,953.03,819.36,979.265
uWSGI,29248.39,29237.705,29056.1,29273.48,29122.59,29256.475,29073.365,29303.58,29313.66,29139.075,29125.495,27684.865,29146.375,29114.135,28893.805,28975.88,28521.07,28773.495,28035.14
uWSGI-base,29436.865,29394.1,29382.505,29396.575,29462.93,29382.42,29319.51,29446.54,29454.3,29394.045,29430.525,29569.485,29402.89,29309.715,29333.715,29119.5,29317.98,29226.8,29054.78

LATENCIES
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,1.695,3.43,5.335,7.74,9.76,12.665,14.02,17.235,17.945,20.95,57.065,79.245,84.68,100.01,107.325,137.29,157.57,160.635,191.28
CherryPy,5.18,5.155,5.145,5.185,5.135,5.16,5.16,5.19,5.145,5.16,5.19,5.205,5.295,5.285,5.29,5.29,5.335,5.3,5.37
Gunicorn,58.39,82.915,81.705,135.38,80.75,82.97,161.49,130.105,205.82,149.535,100.875,206.89,135.26,146.825,186.32,188.315,190.66,224.94,218.695
Meinheld,50.985,71.67,163.89,113.915,208.555,300.545,169.595,182.06,138.74,212.91,262.315,374.855,416.605,584.095,590.52,785.61,617.14,834.82,745.925
mod_WSGI-express,58.665,158.665,137.45,152.35,141.14,190.445,153.085,133.59,157.165,151.465,158.005,290.645,187.495,193.71,241.985,202.315,256.45,276.02,255.195
uWSGI,0.331715,0.332595,0.334855,0.334095,0.335305,0.33343,0.33638,0.333545,0.33109,0.33385,0.332275,0.333855,0.333925,0.33227,0.33173,0.33531,0.32771,0.33173,0.333345
uWSGI-base,0.16035,0.160565,0.16366,0.16353,0.16324,0.16373,0.16388,0.16306,0.16305,0.163405,0.163035,0.16225,0.162675,0.163045,0.16308,0.164065,0.162735,0.1629,0.163985

CPU
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,64.315,63.23,63.46,63.915,63.895,64.115,64.83,65.405,65.69,65.825,64.18,62.085,67.88,71.115,70.405,71.235,71.675,71.56,71.415
CherryPy,133.4,133.77,133.495,133.56,134.08,133.705,133.77,133.92,133.71,133.95,133.985,133.595,133.34,133.955,133.565,133.36,133.375,133.545,133.815
Gunicorn,173.405,173.515,172.135,138.475,172.61,171.79,163.4,172.335,92.345,163.16,173.06,130.385,166.54,158.03,142.775,171.655,106.34,152.45,145.475
Meinheld,79.555,79.555,47.18,79.48,78.68,59.3,79.335,79.51,80.62,79.1,79.95,79.765,80.355,78.06,69.57,78.9,75.845,76.715,71.81
mod_WSGI-express,181.165,157.565,181.255,181.22,180.85,177.7,180.84,181.375,180.28,181.415,180.985,180.235,180.255,181.405,134.245,180.7,181.12,170.105,181.495
uWSGI,149.33,149.245,149.635,149.77,150.115,150.755,150.52,150.68,150.75,150.815,150.425,150.33,150.3,150.365,150.015,150.085,149.8,150.245,150.535
uWSGI-base,148.55,148.86,149.28,149.675,150.455,150.805,149.76,150.18,151.135,149.725,149.86,153.235,151.925,150.35,152.245,149.68,151.79,149.935,149.955

MEMORY
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,4.9136265,5.142216,5.380243,5.513412,5.7037285,5.8903755,6.05605,6.3061355,6.5043165,6.7030215,8.7487935,10.894704,12.818841,14.9474505,15.5031955,18.722324,20.5049035,21.5325075,24.568135
CherryPy,15.3616375,16.441671,17.579376,18.685624,19.7971145,20.9400625,22.0096095,23.0634285,24.1224905,25.2601955,36.333158,36.9308465,51.5951815,54.5259515,64.0942075,57.3308925,75.649515,90.0097635,104.086896
Gunicorn,30.98542,31.001149,30.9801775,30.9644485,31.0168775,31.0693065,30.98542,31.0221205,31.032606,31.0063915,31.085035,31.0168775,31.027363,31.0693065,31.037849,30.995906,30.9644485,30.9906635,31.0221205
Meinheld,7.2047655,7.5041335,7.5366395,7.853834,7.9974885,8.130658,8.2653995,8.6711985,8.5091935,8.351907,9.2856645,10.867441,11.455692,13.972275,14.5122915,16.373514,20.1955735,21.5534795,21.0187055
mod_WSGI-express,26.314014,30.807162,31.132221,31.525437,31.7089375,31.514951,30.8438625,30.9329915,32.353812,31.436308,31.693209,30.932992,32.060211,31.2423215,30.995906,31.2895075,31.1060065,30.94872,31.467765
uWSGI,16.8244015,16.8034295,16.7772155,16.882073,16.84013,16.871587,16.7772155,16.751001,16.7510015,16.724787,16.850616,16.8401305,16.934502,16.8663445,16.8820735,16.892559,16.8611015,16.924016,16.924016
uWSGI-base,16.3420565,16.3577855,16.3892425,16.357785,16.363028,16.3839995,16.352542,16.4259425,16.4626425,16.3315705,16.4311855,16.4678855,16.577986,16.572743,16.5622575,16.5255575,16.5727435,16.5622575,16.5203145

ERRORS
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,0,0,0,0,0,0,0,0,0,0,27,30,151,37,435,268,200,323,281
CherryPy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gunicorn,0,38,217,0,305,360,204,269,202,265,574,684,891,1039,1072,1041,1016,1340,1199
Meinheld,0,52,59,181,105,0,233,362,473,526,694,1106,1080,2348,5648,6937,3710,3564,8117
mod_WSGI-express,0,0,112,210,223,190,412,247,350,422,699,1096,966,1040,1160,1374,1663,1702,1645
uWSGI,0,23,40,41,50,50,50,50,50,50,50,50,50,50,50,50,51,50,51
uWSGI-base,0,42,50,4,42,50,50,50,51,50,50,50,50,50,50,50,51,50,50
